@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureMaxDepth numeric
@attribute measureOutOfBagError numeric

@data

'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',2,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,48,52,0,48,52,0,0.422222,0.104825,0.32073,58.236294,106.910102,332.192809,511.826727,-179.633918,3.321928,5.118267,-1.796339,150.949728,1.509497,4544.039584,0.3,3,0,0,1,90,0.7,7,1,0.3,0.461538,0.653889,0.48,0.057778,0.942222,0.52,0.528077,0.48,0.484275,0.714056,0,0.04,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',3,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,36,64,0,36,64,0,0.288889,0.128553,0.35583,71.41825,118.609986,332.192809,630.59623,-298.403421,3.321928,6.305962,-2.984034,109.460021,1.0946,3295.074952,0.1,1,0.033333,3,0.966667,87,0.9,9,0.25,0.1,0.142857,0.542778,0.36,0.071111,0.928889,0.64,0.383884,0.36,0.364153,0.649111,0.001,0.041,0,0.0312,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',3,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,41,59,0,41,59,0,0.344444,0.118681,0.341635,65.934066,113.878183,332.192809,580.541558,-248.348749,3.321928,5.805416,-2.483487,126.736541,1.267365,3815.150044,0.5,5,0.033333,3,0.966667,87,0.5,5,0.625,0.5,0.555556,0.733333,0.41,0.065556,0.934444,0.59,0.423205,0.41,0.413117,0.672222,0,0.041,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',3,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,41,59,0,41,59,0,0.344444,0.118673,0.34165,65.929209,113.883435,332.192809,581.526462,-249.333652,3.321928,5.815265,-2.493337,126.7429,1.267429,3815.341468,0.5,5,0.066667,6,0.933333,84,0.5,5,0.454545,0.5,0.47619,0.722778,0.41,0.065556,0.934444,0.59,0.438355,0.41,0.416086,0.673167,0,0.042,0,0.0312,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',3,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,45,55,0,45,55,0,0.388889,0.110751,0.329868,61.52814,109.955931,332.192809,542.257781,-210.064971,3.321928,5.422578,-2.10065,140.58207,1.405821,4231.941994,0.4,4,0.055556,5,0.944444,85,0.6,6,0.444444,0.4,0.421053,0.676667,0.45,0.061111,0.938889,0.55,0.453838,0.45,0.445861,0.698167,0.001,0.041,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',3,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,39,61,0,39,61,0,0.322222,0.12263,0.347407,68.127618,115.802428,332.192809,602.14928,-269.95647,3.321928,6.021493,-2.699565,119.8261,1.198261,3607.125042,0.6,6,0.066667,6,0.933333,84,0.4,4,0.5,0.6,0.545455,0.773333,0.39,0.067778,0.932222,0.61,0.357416,0.39,0.363346,0.659722,0,0.042,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',3,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,41,59,0,41,59,0,0.344444,0.118645,0.340957,65.914031,113.652438,332.192809,583.48912,-251.296311,3.321928,5.834891,-2.512963,126.762766,1.267628,3815.939489,0.5,5,0.022222,2,0.977778,88,0.5,5,0.714286,0.5,0.588235,0.758333,0.41,0.065556,0.934444,0.59,0.391598,0.41,0.39218,0.677667,0.001,0.041,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',3,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,38,62,0,38,62,0,0.311111,0.123623,0.348111,68.679497,116.036852,332.192809,602.156427,-269.963618,3.321928,6.021564,-2.699636,118.82769,1.188277,3577.069899,0.2,2,0.088889,8,0.911111,82,0.8,8,0.2,0.2,0.2,0.564444,0.38,0.068889,0.931111,0.62,0.362325,0.38,0.363745,0.661389,0.001,0.041,0,0.0312,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',3,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,38,62,0,38,62,0,0.311111,0.125602,0.350956,69.779006,116.985198,332.192809,612.963862,-280.771053,3.321928,6.129639,-2.807711,115.368896,1.153689,3472.949811,0.2,2,0.033333,3,0.966667,87,0.8,8,0.4,0.2,0.266667,0.596667,0.38,0.068889,0.931111,0.62,0.379957,0.38,0.374433,0.653222,0.001,0.041,0,0.0468,475985,472283,58683,?,?,?,?,?
'C:UsersBenDocumentsTU WienGTZAN_output_without_labelsGTZAN.rh.arff',3,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20110509.1134,900,100,42,58,0,42,58,0,0.355556,0.116703,0.338727,64.835165,112.90908,332.192809,570.726175,-238.533366,3.321928,5.707262,-2.385334,130.194547,1.301945,3919.246382,0.4,4,0.066667,6,0.933333,84,0.6,6,0.4,0.4,0.4,0.666667,0.42,0.064444,0.935556,0.58,0.433651,0.42,0.423187,0.677778,0,0.041,0,0.0312,475985,472283,58683,?,?,?,?,?
